market_id,market_question,jurisdiction,office_level,public_sources,commercial_sources,timeline_alignment_guidance,additional_notes
512248,Will Elise Stefanik be the first elected Speaker of the House for the 119th congress?,United States – U.S. House of Representatives,House leadership election,Federal Election Commission Data Portal (https://www.fec.gov/data/; U.S. government work (public domain under 17 U.S.C. §105).); OpenSecrets Presidential Race Dashboard (https://www.opensecrets.org/2024-presidential-race; Creative Commons BY-NC 3.0; non-commercial redistribution with attribution.); ProPublica Campaign Finance API (https://www.propublica.org/datastore/api/propublica-campaign-finance-api; Free for non-commercial use; registration and attribution required.); Clerk of the U.S. House – Financial Disclosure Reports (https://disclosures-clerk.house.gov/PublicDisclosure/FinancialDisclosure; U.S. government work (public domain).),AdImpact Political Advertising Intelligence (https://www.adimpact.com/; Escalation required); Kantar/CMAG Political Advertising Database (https://www.kantar.com/north-america/expertise/media/planning/advertising-intelligence; Escalation required); Quorum Federal Lobbying & PAC Contributions (https://www.quorum.us/; Escalation required),"Candidate committees file monthly; leadership PACs file semi-annually. Join on FEC committee ID, using filing_received_date to sync with market moves around leadership announcements.",Leadership races also hinge on NRCC/DCCC transfers; capture party committee filings for a holistic view.
516767,Will Pierre Poilievre be the next Canadian Prime Minister?,Canada – Federal,Prime Minister / party leadership,Elections Canada – Political Financing Reports (https://www.elections.ca/content.aspx?section=fin&document=index&lang=e; Open Government Licence – Canada.); Elections Canada Open Data Portal (https://www.elections.ca/content.aspx?section=res&dir=rec/dat&document=index&lang=e; Open Government Licence – Canada.),iPolitics INTEL Fundraising Tracker (https://www.ipolitics.ca/intel/; Escalation required); Politico Pro Canada Elections Coverage (https://www.politico.com/pro; Escalation required),Elections Canada event returns include `ReportingPeriodEndDate`. Convert to UTC and align to the daily close in the price series. Supplement with interim leadership contestant filings as available.,Include Elections Canada event-specific expense reports once the writ is dropped for the 45th general election.
516769,Will Mark Carney be the next Canadian Prime Minister?,Canada – Federal,Prime Minister / party leadership,Elections Canada – Political Financing Reports (https://www.elections.ca/content.aspx?section=fin&document=index&lang=e; Open Government Licence – Canada.); Elections Canada Open Data Portal (https://www.elections.ca/content.aspx?section=res&dir=rec/dat&document=index&lang=e; Open Government Licence – Canada.),iPolitics INTEL Fundraising Tracker (https://www.ipolitics.ca/intel/; Escalation required); Politico Pro Canada Elections Coverage (https://www.politico.com/pro; Escalation required),Elections Canada event returns include `ReportingPeriodEndDate`. Convert to UTC and align to the daily close in the price series. Supplement with interim leadership contestant filings as available.,Include Elections Canada event-specific expense reports once the writ is dropped for the 45th general election.
512340,Will Nicolae Ciucă win the 2024 Romanian Presidential election?,Romania – National,Presidential election,"Autoritatea Electorală Permanentă – Portalul Financiar (https://finantarepartide.ro/; Romanian public sector data; reuse allowed with attribution under Law 544/2001, but interface remains Romanian-only.); Expert Forum (EFOR) – Banometru Dashboard (https://expertforum.ro/banometru/; Creative Commons BY 4.0.)",CEIC Data – Romania Government & Politics (https://www.ceicdata.com/en; Escalation required),AEP posts pre-campaign and campaign expenditure statements stamped with submission dates. Manual OCR may be required; align to submission_date to observe lagged effects on market prices.,AEP publishes reimbursements in PDF; plan for OCR or manual digitization to generate structured time series.
519075,Will Hunor Kelemen win the Romanian presidential election?,Romania – National,Presidential election,"Autoritatea Electorală Permanentă – Portalul Financiar (https://finantarepartide.ro/; Romanian public sector data; reuse allowed with attribution under Law 544/2001, but interface remains Romanian-only.); Expert Forum (EFOR) – Banometru Dashboard (https://expertforum.ro/banometru/; Creative Commons BY 4.0.)",CEIC Data – Romania Government & Politics (https://www.ceicdata.com/en; Escalation required),AEP posts pre-campaign and campaign expenditure statements stamped with submission dates. Manual OCR may be required; align to submission_date to observe lagged effects on market prices.,AEP publishes reimbursements in PDF; plan for OCR or manual digitization to generate structured time series.
519068,Will Nicușor Dan win the Romanian presidential election?,Romania – National,Presidential election,"Autoritatea Electorală Permanentă – Portalul Financiar (https://finantarepartide.ro/; Romanian public sector data; reuse allowed with attribution under Law 544/2001, but interface remains Romanian-only.); Expert Forum (EFOR) – Banometru Dashboard (https://expertforum.ro/banometru/; Creative Commons BY 4.0.)",CEIC Data – Romania Government & Politics (https://www.ceicdata.com/en; Escalation required),AEP posts pre-campaign and campaign expenditure statements stamped with submission dates. Manual OCR may be required; align to submission_date to observe lagged effects on market prices.,AEP publishes reimbursements in PDF; plan for OCR or manual digitization to generate structured time series.
534189,Will Lee Jae-myung be elected the next president of South Korea?,South Korea – National,Presidential election,National Election Commission – Political Funds Integrated Information System (https://nef.nec.go.kr/; Korean public sector licence (KOGL Type 1); attribution required.); Korean Statistical Information Service (KOSIS) – Political Funds (https://kosis.kr/eng/; KOGL Type 1; attribution required.),Yonhap Infomax Election Finance (https://www.yonhapinfomax.co.kr/; Escalation required),NEC system exports monthly ledgers with `report_date`. Use Korean Standard Time when mapping to price data; expect updates within 7 days of filing deadlines.,NEC portal requires Korean language navigation; coordinate with bilingual analyst for data extraction.
534197,Will Kim Moon-soo be elected the next president of South Korea?,South Korea – National,Presidential election,National Election Commission – Political Funds Integrated Information System (https://nef.nec.go.kr/; Korean public sector licence (KOGL Type 1); attribution required.); Korean Statistical Information Service (KOSIS) – Political Funds (https://kosis.kr/eng/; KOGL Type 1; attribution required.),Yonhap Infomax Election Finance (https://www.yonhapinfomax.co.kr/; Escalation required),NEC system exports monthly ledgers with `report_date`. Use Korean Standard Time when mapping to price data; expect updates within 7 days of filing deadlines.,NEC portal requires Korean language navigation; coordinate with bilingual analyst for data extraction.
534220,Will Lee Jun-seok be elected the next president of South Korea?,South Korea – National,Presidential election,National Election Commission – Political Funds Integrated Information System (https://nef.nec.go.kr/; Korean public sector licence (KOGL Type 1); attribution required.); Korean Statistical Information Service (KOSIS) – Political Funds (https://kosis.kr/eng/; KOGL Type 1; attribution required.),Yonhap Infomax Election Finance (https://www.yonhapinfomax.co.kr/; Escalation required),NEC system exports monthly ledgers with `report_date`. Use Korean Standard Time when mapping to price data; expect updates within 7 days of filing deadlines.,NEC portal requires Korean language navigation; coordinate with bilingual analyst for data extraction.
514139,Will Rafał Trzaskowski be the next President of Poland?,Poland – National,Presidential election,National Electoral Commission (PKW) – Election Finance Disclosures (https://wybory.gov.pl; Official government publication; reuse permitted with attribution.); OpenSpending Poland – Campaign Finance Explorer (https://openspending.pl/; CC BY 4.0 license.),Emerging Europe Monitor (Fitch Solutions) (https://www.fitchsolutions.com/; Escalation required),"PKW releases final committee statements approximately 3 months post-election. Align using report publication date, noting that intra-campaign finance transparency is limited.",PKW releases deposits and reimbursement schedules; interim fundraising transparency is limited.
